constant, lambda, clicks, CTR, spend, CPM, CPC
10,1e-07,59,0.065%,6250,68.79244493852707,105.9322033898305
10,2e-07,60,0.056%,6250,58.55239736935789,104.16666666666667
10,3e-07,65,0.055%,6250,52.72837714709952,96.15384615384616
10,4e-07,72,0.058%,6250,50.00600072008641,86.80555555555556
10,5e-07,77,0.059%,6250,47.80407214208135,81.16883116883118
10,6e-07,76,0.057%,6250,46.53725586555573,82.23684210526316
10,7e-07,81,0.057%,6250,44.09233287242148,77.1604938271605
10,8e-07,78,0.050%,6250,40.29112757137976,80.12820512820512
10,9e-07,85,0.053%,6250,38.609084563161375,73.52941176470588
10,1e-06,67,0.049%,4635331,33574.514164028944,69184.04477611941
10,1.1e-06,63,0.050%,3968690,31313.387143860313,62995.079365079364
10,1.2e-06,60,0.052%,3342419,29102.979590415158,55706.98333333333
10,1.2999999999999998e-06,50,0.048%,2804400,26812.758145938504,56088.0
10,1.4e-06,48,0.048%,2616479,25892.40193167874,54509.979166666664
10,1.5e-06,45,0.046%,2424526,24916.510800978358,53878.35555555556
10,1.6e-06,43,0.046%,2265967,24116.80750973839,52696.90697674418
10,1.6999999999999998e-06,41,0.045%,2169718,23616.49233180586,52919.95121951219
10,1.8e-06,40,0.045%,2070685,23080.44273039369,51767.125
10,1.9e-06,40,0.046%,1964950,22525.822242092832,49123.75
10,2e-06,40,0.047%,1903820,22188.00988298914,47595.5
10,2.1e-06,39,0.046%,1852907,21894.468799111415,47510.4358974359
10,2.2e-06,39,0.047%,1788735,21538.568057027263,45865.0
10,2.3e-06,38,0.047%,1715568,21150.867329955247,45146.52631578947
10,2.4e-06,38,0.048%,1666239,20877.310145218078,43848.39473684211
10,2.4999999999999998e-06,38,0.048%,1631217,20667.676050984464,42926.76315789474
10,2.5999999999999997e-06,38,0.049%,1563749,20312.91324058558,41151.28947368421
10,2.7e-06,36,0.048%,1488626,19918.726165785778,41350.72222222222
10,2.8e-06,35,0.047%,1457972,19714.84591564913,41656.34285714286
10,2.8999999999999998e-06,31,0.044%,1323229,18975.105757510577,42684.8064516129
15,1e-07,54,0.065%,6250,74.83954401762621,115.74074074074075
15,2e-07,57,0.059%,6250,64.243570503464,109.64912280701755
15,3e-07,62,0.057%,6250,57.391575834932645,100.80645161290323
15,4e-07,65,0.056%,6250,53.43570188863145,96.15384615384616
15,5e-07,69,0.056%,6250,51.075027171914456,90.57971014492753
15,6e-07,75,0.059%,6250,49.05731464184235,83.33333333333333
15,7e-07,76,0.058%,6250,47.589315627569825,82.23684210526316
15,8e-07,77,0.057%,6250,46.63169910989413,81.16883116883118
15,9e-07,79,0.057%,6250,45.028818443804035,79.11392405063292
15,1e-06,81,0.057%,6250,43.71363025962399,77.1604938271605
15,1.1e-06,77,0.049%,6250,40.159352309965946,81.16883116883118
15,1.2e-06,84,0.052%,6250,38.69082625033274,74.4047619047619
