constant, lambda, clicks, CTR, spend, CPM, CPC
30,2e-06,65,0.043%,5362.948,35416.29574841837,82506.89230769231
30,2.1e-06,63,0.043%,4944.24,34022.88726336868,78480.0
30,2.2e-06,61,0.043%,4783.629,33514.292319979824,78420.14754098361
30,2.3e-06,60,0.044%,4395.504,32308.71684050365,73258.4
30,2.4e-06,58,0.044%,4208.133,31590.692751186114,72554.0172413793
30,2.4999999999999998e-06,58,0.044%,4137.922,31351.69414474482,71343.4827586207
30,2.5999999999999997e-06,56,0.044%,3837.939,30328.170561135386,68534.625
30,2.7e-06,56,0.045%,3734.916,29962.9846531516,66694.92857142857
30,2.8e-06,56,0.048%,3385.487,28749.040421195652,60455.125
30,2.8999999999999998e-06,54,0.047%,3174.753,27906.236540236452,58791.72222222222
30,3e-06,51,0.046%,3022.899,27229.64464261586,59272.529411764706
30,3.1e-06,45,0.043%,2694.895,25789.70285659601,59886.555555555555
30,3.2e-06,43,0.042%,2627.769,25467.566703172095,61110.90697674418
30,3.2999999999999997e-06,43,0.042%,2544.162,25062.425502152433,59166.558139534885
30,3.3999999999999996e-06,43,0.043%,2481.05,24762.21368331753,57698.83720930233
30,3.5e-06,43,0.044%,2390.985,24297.640339823585,55604.3023255814
30,3.6e-06,43,0.044%,2341.76,24051.10613561202,54459.53488372093
30,3.6999999999999997e-06,41,0.043%,2296.982,23825.14262006016,56023.95121951219
30,3.8e-06,40,0.042%,2258.974,23626.46948081831,56474.35
30,3.9e-06,38,0.040%,2208.509,23372.4442280828,58118.65789473684
30,4e-06,38,0.041%,2149.936,23078.135231163924,56577.26315789474
30,4.1e-06,38,0.041%,2140.949,23021.452074238154,56340.76315789474
30,4.2e-06,37,0.041%,2066.373,22650.147977638935,55847.91891891892
30,4.2999999999999995e-06,37,0.041%,2020.267,22404.841911479303,54601.81081081081
30,4.4e-06,37,0.041%,1994.272,22258.9905574034,53899.24324324324
30,4.5e-06,37,0.042%,1967.139,22110.63528459671,53165.91891891892
