basebid,clicks, CTR, spend, avgCPM, avgCPC
1,4,0.433%,5.242999999999973,5.680390032502679,1.3107499999999932,
2,4,0.248%,14.438000000000049,8.967701863354067,3.609500000000012,
3,5,0.185%,35.82700000000019,13.22517534145448,7.165400000000038,
4,8,0.226%,64.3110000000005,18.17208250918353,8.038875000000063,
5,13,0.239%,104.89399999999995,19.296173657100802,8.068769230769227,
6,15,0.214%,145.2799999999994,20.715813489234193,9.685333333333293,
7,16,0.166%,190.7639999999934,19.78264025718069,11.922749999999587,
8,19,0.167%,230.7249999999889,20.299577687839953,12.143421052630995,
9,22,0.161%,276.4219999999827,20.281898892067115,12.564636363635577,
10,25,0.160%,324.27799999997455,20.795049377964254,12.971119999998983,
11,26,0.152%,358.6709999999699,20.917419956842007,13.795038461537304,
12,29,0.159%,392.34699999996633,21.451448879167106,13.529206896550564,
13,34,0.173%,436.9929999999597,22.271698690176834,12.852735294116462,
14,36,0.169%,477.79999999996033,22.478359051560044,13.27222222222112,
15,36,0.157%,520.9149999999546,22.730505738096372,14.46986111110985,
16,39,0.160%,562.4469999999457,23.090853107806293,14.421717948716555,
17,41,0.159%,600.2479999999393,23.26452463082591,14.64019512194974,
18,41,0.152%,636.3929999999326,23.537855531306455,15.521780487803234,
19,42,0.147%,673.663999999925,23.63235810004648,16.03961904761726,
20,43,0.146%,704.0019999999183,23.91229917461765,16.37213953488182,
21,44,0.145%,732.8309999999177,24.069861393940673,16.65524999999813,
22,44,0.138%,771.9559999999142,24.242565084945333,17.544454545452595,
23,45,0.137%,807.6349999999072,24.617764501475513,17.947444444442382,
24,47,0.137%,848.4959999999006,24.753369508136434,18.05310638297661,
25,49,0.132%,919.4999999999047,24.84463658470426,18.765306122447036,
26,49,0.123%,992.2119999999143,25.004712582846054,20.24922448979417,
27,51,0.120%,1065.7809999999192,25.136344339620734,20.89766666666508,
28,52,0.120%,1099.0509999999385,25.300437384897297,21.135596153844972,
29,54,0.121%,1137.8369999999416,25.51718956740018,21.071055555554473,
30,54,0.117%,1188.7469999999537,25.687086736677337,22.013833333332474,
31,58,0.113%,1511.275000000053,29.521702609783816,26.056465517242295,
32,59,0.112%,1579.6450000000686,29.968033237845393,26.773644067797775,
33,59,0.110%,1607.3700000000763,30.030266230734725,27.243559322035193,
34,67,0.112%,2007.8840000000373,33.52955714381199,29.968417910448316,
35,69,0.112%,2082.288000000051,33.92508838527918,30.178086956522478,
36,70,0.112%,2128.0890000000813,34.15050950814541,30.401271428572592,
37,73,0.108%,2442.959000000321,36.23278061224966,33.465191780826316,
38,73,0.104%,2562.0910000003964,36.645798469575865,35.0971369863068,
39,74,0.104%,2605.232000000422,36.725478586941016,35.20583783784354,
40,75,0.105%,2632.977000000444,36.71291725927165,35.10636000000592,
41,76,0.102%,2704.609000000449,36.36253512416743,35.5869605263217,
42,77,0.102%,2752.423000000474,36.52705267209632,35.745753246759406,
43,89,0.111%,3108.8310000009983,38.73980984187963,34.93068539326964,
44,90,0.111%,3150.165000001031,38.78749261230584,35.001833333344784,
45,91,0.110%,3238.9510000011073,39.198719577885576,35.5928681318803,
46,92,0.110%,3278.5720000011424,39.19955044359194,35.63665217392546,
47,92,0.109%,3307.497000001163,39.22134734197207,35.95105434783873,
48,92,0.108%,3358.2090000011767,39.31684501371176,36.502271739143225,
49,93,0.106%,3456.4710000012024,39.34021920990203,37.166354838722604,
50,93,0.105%,3501.204000001252,39.381407119973595,37.64735483872314,
51,93,0.104%,3544.0860000012563,39.47346966053257,38.10845161291673,
52,93,0.103%,3573.4320000012854,39.49940310387414,38.42400000001382,
53,93,0.100%,3672.1390000012775,39.29564789351708,39.485365591411586,
54,93,0.099%,3714.908000001277,39.379954417780006,39.94524731184168,
55,96,0.101%,3783.75300000131,39.78709779181188,39.41409375001364,
56,96,0.100%,3849.2070000013487,40.01379460899351,40.095906250014046,
57,96,0.099%,3892.7330000013903,40.04333782520229,40.54930208334782,
58,97,0.099%,3930.6710000014145,40.14903679190839,40.52238144331355,
59,102,0.100%,4167.1270000012455,40.78541087579029,40.854186274522014,
60,105,0.099%,4418.45000000114,41.81287379817871,42.08047619048705,
61,105,0.098%,4487.441000001157,41.92302877430079,42.73753333334435,
62,105,0.097%,4527.489000001141,42.005984301656504,43.118942857153726,
63,105,0.096%,4582.014000001126,42.067314842878105,43.6382285714393,
64,106,0.096%,4680.382000001134,42.2420960478085,44.15454716982202,
65,106,0.095%,4745.191000001102,42.42573336791422,44.765952830199076,
66,109,0.094%,4989.615000001003,43.06552679504754,45.77628440367893,
67,109,0.093%,5046.726000001008,43.12961807663258,46.300238532119344,
68,109,0.093%,5080.966000001026,43.216150241139616,46.61436697248648,
69,109,0.092%,5139.797000000975,43.393222285080874,47.15410091744013,
70,112,0.091%,5436.135000000851,44.33354537225757,48.53691964286474,
71,112,0.091%,5531.134000000827,44.750637141083885,49.385125000007385,
72,112,0.090%,5620.147000000836,45.048389682431875,50.17988392857889,
73,112,0.089%,5700.74200000087,45.2917921297947,50.899482142864905,
74,113,0.089%,5768.7620000008965,45.41688579572105,51.050991150450415,
75,113,0.088%,5824.045000000884,45.502128989420555,51.540221238945875,
76,115,0.087%,6113.301000000758,46.27222289503738,53.159139130441375,
77,115,0.086%,6200.807000000694,46.55505169191094,53.92006086957125,
78,115,0.086%,6250,46.67383576784061,54.34782608695652,
79,114,0.086%,6250,46.91241264908764,54.824561403508774,
80,113,0.085%,6250,47.03137933629317,55.309734513274336,
81,112,0.084%,6250,47.1146960159813,55.80357142857143,
82,112,0.085%,6250,47.24861845039651,55.80357142857143,
83,106,0.080%,6250,47.30368968779565,58.9622641509434,
84,104,0.079%,6250,47.34669141320404,60.09615384615385,
85,105,0.080%,6250,47.477248902326004,59.523809523809526,
86,103,0.079%,6250,47.876211268145084,60.679611650485434,
87,103,0.079%,6250,48.00012288031457,60.679611650485434,
88,104,0.080%,6250,48.123565917735654,60.09615384615385,
89,103,0.080%,6250,48.2700030892802,60.679611650485434,
90,101,0.078%,6250,48.4188345392851,61.881188118811885,
91,102,0.079%,6250,48.52672852206995,61.27450980392157,
