c, lambda, clicks, CTR, spend, avgCPM, avgCPC
60,1e-06,65,0.055%,6250,53.25721102637297,96.15384615384616,
60,1.1e-06,68,0.056%,6250,51.924962198627526,91.91176470588235,
60,1.2e-06,70,0.057%,6250,50.9252092007594,89.28571428571429,
60,1.2999999999999998e-06,72,0.057%,6250,49.75876948553413,86.80555555555556,
60,1.4e-06,75,0.059%,6250,48.89879904549544,83.33333333333333,
60,1.5e-06,76,0.059%,6250,48.14543773831992,82.23684210526316,
60,1.6e-06,76,0.058%,6250,47.536831537074924,82.23684210526316,
60,1.6999999999999998e-06,76,0.057%,6250,46.84946704046295,82.23684210526316,
60,1.8e-06,79,0.059%,6250,46.323404066083114,79.11392405063292,
60,1.9e-06,81,0.060%,6250,46.00493172868131,77.1604938271605,
60,2e-06,84,0.060%,6250,44.797087114207486,74.4047619047619,
60,2.1e-06,83,0.058%,6250,43.81967328051602,75.3012048192771,
60,2.2e-06,85,0.059%,6250,43.50277373685346,73.52941176470588,
60,2.3e-06,88,0.059%,6250,41.71422087846812,71.02272727272727,
60,2.4e-06,81,0.052%,6250,39.81196014982037,77.1604938271605,
60,2.4999999999999998e-06,87,0.054%,6250,39.015437628360786,71.83908045977012,
60,2.5999999999999997e-06,85,0.055%,5880.576000002555,37.91009483043699,69.18324705885358,
60,2.7e-06,70,0.051%,4607.838000001999,33.86373190271183,65.8262571428857,
60,2.8e-06,68,0.052%,4268.089000001498,32.73727123507369,62.76601470590438,
60,2.8999999999999998e-06,65,0.053%,3822.4960000007086,31.37926052407491,58.80763076924167,
60,3e-06,64,0.054%,3595.347000000634,30.531917423173436,56.17729687500991,
60,3.1e-06,60,0.053%,3320.8690000004362,29.358343278967745,55.347816666673936,
60,3.2e-06,53,0.050%,2955.40400000001,27.91593304870225,55.7623396226417,
60,3.2999999999999997e-06,53,0.051%,2859.039999999959,27.4889190150659,53.94415094339546,
60,3.3999999999999996e-06,52,0.052%,2688.9669999998723,26.6741429251634,51.71090384615139,
60,3.5e-06,52,0.053%,2580.3349999997936,26.172115101782044,49.62182692307295,
60,3.6e-06,50,0.051%,2511.68299999981,25.8659066567784,50.2336599999962,
60,3.6999999999999997e-06,49,0.051%,2443.6059999997537,25.542296877773925,49.869510204076605,
60,3.8e-06,48,0.051%,2347.119999999737,25.110676038554598,48.898333333327855,
60,3.9e-06,47,0.051%,2296.390999999734,24.865364416962457,48.85938297871775,
